INDEX;CONC;PREC;TMAX;TMIN;VMIN;DIR;VMAX
29/08/11;2.56;0.0;33.6;14.4;1.5;3;3.2
30/08/11;1.28;0.0;31.6;14.4;1.4;3;3.0
31/08/11;0.64;0.0;32.4;16.4;1.5;3;3.3
03/09/11;0;0.0;35.6;19.8;1.0;1;2.2
04/09/11;13.77;0.0;29.5;18;1.2;1;4.8
07/09/11;9.29;0.0;28.7;16.7;1.4;3;3.9
08/09/11;5.45;0.0;30.2;14.4;1.3;6;2.7
09/09/11;2.56;0.0;33.1;16.6;1.1;3;2.3
10/09/11;0.64;0.0;32.9;15.6;1.2;1;2.8
12/09/11;0;0.0;32.4;18.4;1.1;3;3.2
19/09/11;0;10.8;24.1;10.5;2.1;7;6.9
20/09/11;5.13;0.2;24.4;10.7;3.2;6;9.0
21/09/11;0.64;0.0;29.3;10.5;2.0;6;5.6
22/09/11;0.64;0.0;29.4;12.3;1.0;3;2.2
23/09/11;0.32;0.0;31.2;12.7;2.4;3;6.4
24/09/11;0.32;0.0;30.6;13;1.2;1;4.1
25/09/11;0.96;0.0;31.3;15;1.1;3;5.5
26/09/11;0.64;11.6;29.7;12.8;2.3;3;5.4
27/09/11;1.28;0.0;29.7;15;3.4;1;6.5
28/09/11;0.96;0.0;27.9;15.7;3.1;1;6.7
29/09/11;0.32;0.0;28.6;13.8;3.1;1;6.8
30/09/11;0.64;0.0;28.8;13;2.7;1;5.7
03/10/11;0;0.0;31.8;10.8;1.1;3;2.3
04/10/11;5.45;0.0;30.4;10.4;0.9;5;2.0
05/10/11;77.20;0.0;30.9;10.1;0.8;6;1.9
07/10/11;5.45;0.0;23.8;10.1;2.5;5;7.2
08/10/11;5.13;8.4;21.9;4.8;1.2;1;2.8
