gg/mm/aaaa;Vel Med [m/s];Dir Med;Vel Max [m/s]
27/12/11;2.9;NE;5.9
28/12/11;0.5;S;1.4
29/12/11;1.3;SE;5.5
30/12/11;1.4;N;4.7
31/12/11;0.8;S;3.0
01/01/12;0.5;S;1.8
02/01/12;0.8;S;2.7
03/01/12;3.1;NE;6.0
04/01/12;1.2;NE;6.0
05/01/12;1.2;NE;6.9
06/01/12;5.0;NE;9.3
07/01/12;0.9;NE;2.2
08/01/12;0.6;SE;1.7
09/01/12;0.7;SE;1.8
10/01/12;0.7;SO;2.2
11/01/12;0.6;S;1.9
12/01/12;0.6;S;1.4
13/01/12;2.0;S;3.4
14/01/12;1.2;SE;3.6
15/01/12;0.6;SE;1.4
16/01/12;1.0;E;3.0
17/01/12;0.5;E;2.0
18/01/12;0.5;SE;1.6
19/01/12;0.9;SE;2.4
20/01/12;0.9;NE;2.1
21/01/12;0.7;NE;2.2
22/01/12;0.6;NE;1.4
23/01/12;0.6;SE;1.5
24/01/12;1.8;NE;5.3
25/01/12;1.9;N;4.6
26/01/12;0.7;SE;1.7
27/01/12;0.7;S;1.7
28/01/12;1.3;S;4.4
29/01/12;5.4;E;9.1
30/01/12;7.8;N;11.0
31/01/12;5.2;NE;8.0
01/02/12;5.7;NE;9.2
02/02/12;8.7;N;11.8
03/02/12;7.3;N;11.6
04/02/12;6.0;NE;9.0
05/02/12;8.1;NE;9.9
06/02/12;6.2;N;10.9
07/02/12;4.5;NE;7.6
08/02/12;5.2;NE;8.4
09/02/12;3.7;NE;6.2
10/02/12;8.0;NE;10.7
11/02/12;6.3;NE;9.6
12/02/12;5.7;NE;9.1
13/02/12;4.3;NE;5.9
14/02/12;2.9;N;5.2
15/02/12;0.9;E;1.8
16/02/12;0.8;SO;2.3
17/02/12;0.8;SE;2.0
18/02/12;0.6;SE;1.8
19/02/12;0.7;E;1.6
20/02/12;5.0;S;10.5
21/02/12;6.6;N;8.6
22/02/12;5.2;N;9.2
23/02/12;2.4;NE;6.9
24/02/12;0.9;SE;2.3
25/02/12;0.9;E;2.0
26/02/12;1.7;O;6.7
27/02/12;1.2;NE;3.0
28/02/12;1.0;S;2.1
29/02/12;0.7;SE;1.7
01/03/12;0.8;SE;2.1
02/03/12;0.8;SE;1.6
03/03/12;1.3;E;2.9
04/03/12;0.9;SE;2.0
05/03/12;1.0;E;5.1
06/03/12;4.7;S;9.4
07/03/12;3.5;NE;5.7
08/03/12;3.5;SE;7.9
09/03/12;4.7;NE;7.6
10/03/12;3.9;NE;7.5
11/03/12;3.9;NE;7.6
12/03/12;1.0;SE;2.1
13/03/12;1.1;SE;3.6
14/03/12;1.0;SE;2.3
15/03/12;1.0;E;2.5
16/03/12;1.1;E;2.1
17/03/12;1.0;SE;2.5
18/03/12;1.6;NE;4.7
19/03/12;1.4;SO;3.7
20/03/12;2.1;NE;6.7
21/03/12;2.0;SE;6.2
22/03/12;1.1;E;2.7
23/03/12;1.0;E;2.2
24/03/12;1.2;E;3.5
25/03/12;2.4;E;6.9
26/03/12;2.5;SO;5.1
27/03/12;1.9;SE;4.6
28/03/12;1.7;SE;4.4
29/03/12;1.6;SE;4.8
30/03/12;1.4;S;3.3
31/03/12;1.4;E;3.7
01/04/12;2.0;E;6.2
02/04/12;1.3;E;2.8
03/04/12;0.8;S;1.8
04/04/12;1.0;SE;2.2
05/04/12;1.1;E;2.7
06/04/12;1.6;SE;3.7
07/04/12;2.7;SO;5.7
08/04/12;2.3;SO;6.3
09/04/12;1.5;N;4.0
10/04/12;1.2;SE;2.3
11/04/12;1.8;E;3.8
12/04/12;1.2;NO;3.3
13/04/12;3.3;NE;7.2
